code,ward,pop_total,pop_65plus,aging_rate,elderly_owner_hh,elderly_owner_rate,land_median_yen_sqm,score_100oku
13112,世田谷,943664,191693,20.3,57350,70.6,760500,436.1
13103,港,260486,43589,16.7,15620,57.7,2650000,413.9
13113,渋谷,243883,45324,18.6,16660,66.0,1750000,291.6
13111,大田,748081,167457,22.4,46880,66.1,616000,288.8
13104,新宿,349385,67872,19.4,23540,61.0,1180000,277.8
13109,品川,422488,83843,19.8,24550,63.3,1125000,276.2
13115,杉並,591108,124462,21.1,38700,70.9,674000,260.8
13110,目黒,288088,56301,19.5,19700,73.4,1130000,222.6
13105,文京,240069,44824,18.7,16250,71.4,1280000,208.0
13102,中央,169179,24707,14.6,8950,64.4,2210000,197.8
13119,板橋,584483,136572,23.4,37360,58.0,520000,194.3
13108,江東,524310,111817,21.3,30110,54.7,641000,193.0
13114,中野,344880,69384,20.1,22050,63.9,848000,187.0
13120,練馬,752608,166409,22.1,39420,66.6,472500,186.3
13116,豊島,301599,59221,19.6,21380,63.4,808000,172.8
13106,台東,211444,48419,22.9,16150,69.4,1030000,166.3
13123,江戸川,697932,148715,21.3,37740,60.8,425500,160.6
13117,北,355213,87924,24.8,19770,48.2,648000,128.1
13121,足立,695043,177488,25.5,33430,49.5,357000,119.3
13122,葛飾,453093,113553,25.1,27490,62.2,378000,103.9
13101,千代田,66680,10903,16.4,3690,66.7,2750000,101.5
13107,墨田,272085,60204,22.1,14120,57.5,650000,91.8
13118,荒川,217475,50556,23.2,14060,64.9,652000,91.7
